time,100u,100v,10fg,10u,10v,2d,2t,asn,cbh,cp,crr,csf,csfr,es,hcc,i10fg,ilspf,istl1,istl2,istl3,istl4,lcc,lsf,lsp,lspf,lsrr,lssfr,mcc,mn2t,mntpr,msl,mx2t,mxtpr,ptype,rsn,sd,sf,skt,smlt,sp,tcc,tciw,tclw,tcrw,tcsw,tp,tsn,u10n,v10n,viiwd,viiwe,viiwn,vilwd,vilwe,vilwn
2004-12-31 18:00:00,,,6.248517860322309,,,,,,2996.9632432725693,3.4677823619729668e-06,8.18582946026819e-07,5.75488466306551e-07,3.513882829416433e-08,1.1005240002407323e-07,,6.138494378716283,0.20850999820867233,,,,,,3.184188576139642e-05,3.9030858398189204e-05,759.9929733727811,2.0963905831060466e-06,9.243348999136298e-06,,273.8048594096709,8.053107727208787e-06,,274.04457227718194,1.2282480502269677e-05,,,,3.2417740694869905e-05,,0.0,,,,,,,4.2498199897404956e-05,,,,,,,,,
2005-01-01 00:00:00,0.3006113605386407,0.6468551003721339,,-0.06072412863285584,-0.12248833786101031,271.17756824380547,275.256783931213,0.7651927584021755,,,,,,,0.38007413423978365,,,271.4601745605469,271.46058654785156,271.4599609375,271.4599609375,0.1555099938748151,,,,,,0.41160159139238167,,,101890.48483727811,,,2.289940828402367,123.81020431969998,0.10631731981356468,,270.6791622906747,,74236.57613720415,0.5828321107040496,0.02765479454627404,0.00882612600834412,0.0008089923294338249,0.040553030883066755,,265.6828368598893,-0.012257213775928203,-0.057718822941977596,-4.0727382844049465e-06,0.9095406616933247,0.40114652193509615,3.8254961644205647e-07,0.0794872755622877,0.03097113437906525
2005-01-01 18:00:00,,,6.343215197501098,,,,,,2627.54299073782,2.126016560390856e-06,1.5024878305090956e-07,1.1407874921369835e-06,1.3931263127975916e-07,1.8891574209515082e-07,,6.210048190235386,0.29831600753513315,,,,,,7.348185812933205e-05,8.592644386742947e-05,1168.0414201183432,3.3583161393566245e-06,1.8985005172752064e-05,,274.010480711446,1.8628479460992757e-05,,274.2360406458025,2.172236611857217e-05,,,,7.462316363520876e-05,,0.0,,,,,,,8.806004326724442e-05,,,,,,,,,
2005-01-02 00:00:00,0.03753885573889377,0.9060555915155354,,-0.12558052807869996,-0.028578351940629045,271.23627115283495,274.8668610160873,0.7773047223598999,,,,,,,0.3622754339635725,,,271.460205078125,271.45994567871094,271.46034240722656,271.4599609375,0.31122566539154956,,,,,,0.6473182813655696,,,101842.60318047338,,,2.4497041420118344,121.54873982265856,0.10757470271996493,,271.3524779370551,,74113.26768213758,0.7847208665138298,0.04275571744703226,0.012095705291928624,0.000557634252062916,0.0712892882217317,,266.3184986001641,-0.03200499475354979,0.07534844776582436,-9.333839007658806e-06,1.2067569021642561,0.676544189453125,-5.274941833392226e-07,0.07525220508935183,0.06713908390808829
2005-01-02 18:00:00,,,5.691250236782096,,,,,,1496.8486743587077,7.251310630662907e-06,1.8085953751964682e-06,2.451196930112218e-06,1.9576069871349448e-06,2.2808978816133733e-07,,5.570619791922485,0.19403148402829143,,,,,,1.6658219712725758e-05,1.9701848015982725e-05,725.7193047337278,1.5038820589787862e-06,2.7172906687979163e-06,,269.74678328474596,3.152323016048183e-06,,270.18016882902066,8.14855451414571e-06,,,,1.9107873623187726e-05,,0.0,,,,,,,2.691096808078021e-05,,,,,,,,,
2005-01-03 00:00:00,0.22805799111812072,0.622342617554072,,-0.055162875609990406,-0.2835343772843039,265.5270022781643,270.03968693659857,0.785310843287135,,,,,,,0.02335822652782914,,,271.459716796875,271.4601135253906,271.460205078125,271.4599609375,0.35133298614321373,,,,,,0.05379183616863906,,,101870.02773668639,,,2.4911242603550297,122.21636186407868,0.1086872540987455,,266.00032720622227,,74034.81451090977,0.3778625127126479,0.005154242882361779,0.016293226614506287,0.0008653268306213018,0.006278043667945636,,261.29787891997387,-0.02742971612151558,-0.22125300006753595,2.0660163446180743e-07,0.05118750961574577,0.039098228650310866,-8.173965774586744e-08,0.03300287032268456,0.041621267288570574
2005-01-03 18:00:00,,,7.014025620454867,,,,,,598.9042477365267,9.085299700674926e-07,5.643043292344674e-08,5.202180535130247e-07,1.1189096778102176e-07,8.528928102625083e-08,,6.586577629901954,0.19654250286034577,,,,,,2.787293061702209e-05,3.1302490177944566e-05,725.1605029585799,7.730969310512204e-07,6.024830440092369e-06,,269.68319819523737,6.218633708163831e-06,,270.2053397816314,8.319168401187693e-06,,,,2.839385405094666e-05,,0.0,,,,,,,3.220572979492549e-05,,,,,,,,,
2005-01-04 00:00:00,1.6283192098493406,0.1094674330491286,,0.6081808981810801,-0.3292743750577848,264.77929859048515,270.2591098582251,0.7843466080152072,,,,,,,0.0,,,271.46055603027344,271.4604797363281,271.4601745605469,271.4599609375,0.24154112324912166,,,,,,0.04403659436829697,,,102095.70968934911,,,2.6745562130177514,124.92965698242188,0.1091957318006888,,265.8034540661693,,74093.88362148669,0.2564557799573481,0.004289474713026419,0.016906286837786614,0.00017190826009716507,0.010675283578725962,,259.48731245232756,0.31244400901907293,-0.11900988697300297,1.0943801213571107e-07,0.032901605677972796,0.0209687617152775,3.6101648446238606e-07,0.07522158627673851,0.050521946870363675
2005-01-04 18:00:00,,,5.577495902247683,,,,,,346.8278350830078,2.2304349044370934e-06,2.650819586578911e-06,0.0,0.0,4.755032577547768e-08,,5.46836682043132,0.12589178141757582,,,,,,5.607739829364613e-08,3.7752069841475178e-06,479.2640532544379,6.191917425076637e-07,1.6664612222705366e-08,,269.64765677367444,1.0862858337763498e-07,,269.9742322391307,4.254898728703606e-06,,,,5.607739829364613e-08,,0.0,,,,,,,6.012530369166086e-06,,,,,,,,,
2005-01-05 00:00:00,0.8867931140245066,0.07197881168162329,,0.2866913609250763,-0.2814709025727221,259.13544405423676,269.0471114660861,0.781210860909795,,,,,,,0.012837878345737797,,,271.46044921875,271.4603729248047,271.4599609375,271.4599609375,0.1818233693139793,,,,,,0.08703206982132951,,,102152.04160502959,,,1.1715976331360947,124.39755176792484,0.1092131603398972,,264.0956111208222,,74275.99429086539,0.25123830942007214,0.0003487555938359548,0.024316437851042438,0.00045144346338757397,0.0003281598965797199,,259.10302824663694,0.1701379242028005,-0.1252170088728504,2.3969936290667696e-07,0.007058820766365823,0.0005715514075826611,-6.122930906540797e-08,0.018930622106473123,0.000734817699567806
