time,100u,100v,10fg,10u,10v,2d,2t,asn,cbh,cp,crr,csf,csfr,es,hcc,i10fg,ilspf,istl1,istl2,istl3,istl4,lcc,lsf,lsp,lspf,lsrr,lssfr,mcc,mn2t,mntpr,msl,mx2t,mxtpr,ptype,rsn,sd,sf,skt,smlt,sp,tcc,tciw,tclw,tcrw,tcsw,tp,tsn,u10n,v10n,viiwd,viiwe,viiwn,vilwd,vilwe,vilwn
1989-12-31 18:00:00,,,5.759103560588769,,,,,,345.0617230389569,6.095874784569416e-09,0.0,0.0,0.0,8.303702772063198e-08,,5.550835287782568,0.2293210904273761,,,,,,1.3805837673548411e-05,2.1412175082596097e-05,781.1486686390532,1.7664268524689083e-06,1.9580919361678806e-06,,266.0982270551151,3.1870850444545407e-06,,266.47979736328125,5.410686576154811e-06,,,,1.3805837673548411e-05,,2.082749325010551e-08,,,,,,,2.141817081609421e-05,,,,,,,,,
1990-01-01 00:00:00,1.1068903454662076,-0.43645989683252817,,0.33214510404146635,-0.5529351319081685,257.9227482722356,263.72995293069874,0.7615108405344585,,,,,,,0.0,,,271.4591979980469,271.4599609375,271.46006774902344,271.4599609375,0.231198372925527,,,,,,0.049418251895340236,,,101752.45081360947,,,2.603550295857988,127.08100683449288,0.04930902232785197,,261.3951934272721,,73170.59273298817,0.23700375528730586,0.0017278913915510009,0.02487837210209412,0.0003544931581034463,0.006376142332539756,,256.8178981803578,0.1566839002998623,-0.22292413760924482,5.136073186212445e-08,0.010142715710415725,-0.0012352649761727577,5.443568393786454e-07,0.111740720783465,-0.01469115357427202
1990-01-01 18:00:00,,,6.212804585518922,,,,,,356.8490445091611,3.207345443540776e-07,0.0,2.4157212551176195e-07,1.263312896239687e-08,1.553407478967362e-07,,5.945128954373873,0.19721605650772003,,,,,,1.412969545499813e-05,1.7707208557241767e-05,691.7917899408284,5.101526056873728e-07,1.8049582574494492e-06,,266.2609135554387,2.271126536927985e-06,,266.68202832464635,3.885433695020055e-06,,,,1.4371067814573029e-05,,9.397781845292396e-09,,,,,,,1.803512227605786e-05,,,,,,,,,
1990-01-02 00:00:00,0.7137101698203905,0.22296736790583685,,0.2484008648691798,-0.4343413685905863,260.25046516734466,266.3011706651315,0.7592676204337171,,,,,,,0.0,,,271.45924377441406,271.459716796875,271.45989990234375,271.4599609375,0.20300952076206547,,,,,,0.02652153602013221,,,101728.17326183432,,,2.6745562130177514,127.41732571393075,0.04928434388877372,,261.0384192833534,,73211.15904678254,0.20665555874976885,0.0015168020711142636,0.020923953084550667,0.00027797772334172175,0.00661506878553763,,256.29024212176984,0.06006085978457208,-0.22225619208883252,7.612119233697245e-08,0.00984805857641457,0.0008485354262696216,7.894432954710616e-07,0.06751276809341941,-0.00011576844390327409
1990-01-02 18:00:00,,,6.0991779699833435,,,,,,461.5782045306581,1.0093607934268974e-06,9.731907595896862e-08,8.280945600137203e-07,1.447159554478685e-07,1.424807877940122e-07,,5.882293706814918,0.16121976051104844,,,,,,1.0978761156635171e-05,1.2128134450968906e-05,575.0240384615385,4.000609090342324e-07,1.3377980367671808e-06,,266.00013100889305,1.6569936945593568e-06,,266.418449988732,2.832366869999812e-06,,,,1.1805687430342274e-05,,0.0,,,,,,,1.3139958565051738e-05,,,,,,,,,
1990-01-03 00:00:00,1.0827938452274841,0.15543470439120863,,0.33857250213623047,-0.42498458207711665,258.86497362125556,265.874908627843,0.7567032861286367,,,,,,,0.0,,,271.46044921875,271.4608154296875,271.4600372314453,271.4599609375,0.1966806445601424,,,,,,0.03246555666951738,,,101955.11150147929,,,2.366863905325444,127.61158653123844,0.049370317064093415,,261.41798039724137,,73345.19859467456,0.20297864202916974,0.0018773671438002727,0.014484992394080529,0.00012320033191929203,0.004097413734571468,,257.38416484403893,0.13610964202316556,-0.2430254185693504,1.8088593546882514e-07,0.01740133972518551,0.004448724370559997,1.80737176578018e-07,0.02696520147415308,0.005198767904699202
1990-01-03 18:00:00,,,5.16766813379773,,,,,,555.4961187744141,8.377880298879725e-07,1.184366603475615e-09,8.143837282643516e-07,6.346219390101687e-08,2.8799160494890683e-08,,5.076101246670153,0.08390717816776072,,,,,,1.3698928454923912e-05,1.4086182300861065e-05,321.40976331360946,2.8609926399041916e-08,1.821887387326483e-06,,264.7677454299475,1.7970447709574501e-06,,265.12859240650425,2.163357635926918e-06,,,,1.451381917535906e-05,,0.0,,,,,,,1.4919853774753548e-05,,,,,,,,,
1990-01-04 00:00:00,1.0375794179340792,-0.20717252923186713,,0.2875460336899616,-0.4140194661518526,257.52435058954904,263.6101335153072,0.7580619955203942,,,,,,,0.00024651211394360786,,,271.4599609375,271.4606628417969,271.46006774902344,271.4599609375,0.09320908044216901,,,,,,0.05180097049509985,,,102123.13979289941,,,1.2840236686390532,127.54794239292484,0.04941166505305725,,260.423619828986,,73442.21172337278,0.1300751274154031,0.004135910575911844,0.008540768595136835,9.772022800332696e-05,0.021617009089543268,,256.2251274515186,0.17065862791072686,-0.22561918842721973,1.631629404945288e-07,0.045274153030780556,-0.008813594219952646,3.781070631030484e-07,0.034631608351624224,-0.002022561236951478
1990-01-04 18:00:00,,,6.286656695710131,,,,,,1044.9344826163826,1.9481063947169737e-06,7.895705601498044e-10,1.9127161368815855e-06,1.1177420803516575e-08,1.011752204803513e-07,,6.2397882303542636,0.1609894340560281,,,,,,1.808410212838438e-05,2.0603897303519165e-05,512.0628698224853,5.497558582463914e-07,2.2940514003031354e-06,,265.8141179733728,2.232110182914508e-06,,266.16686921430056,4.195867205512594e-06,,,,1.9997711012349327e-05,,0.0,,,,,,,2.257129144386427e-05,,,,,,,,,
1990-01-05 00:00:00,0.9019712301400992,0.7632709932045119,,0.33765733488918054,-0.09409408456475071,259.1155660053682,264.9887772057889,0.755428966685865,,,,,,,0.0027486360990084135,,,271.46044921875,271.4603729248047,271.45947265625,271.4599609375,0.20913308047683987,,,,,,0.185177865113027,,,102063.51164940829,,,2.136094674556213,127.67644414958164,0.04939653605399047,,261.3103214241344,,73439.81904123521,0.3010048950917622,0.0054395100068763864,0.01279086050902598,0.00012993318794747076,0.008513772276026257,,257.08020714754184,0.1112392608230636,-0.11284105523803531,-7.727978848879771e-07,0.09221904799783018,0.00670764511506233,3.11839788421622e-07,0.040737535826553255,0.013055757503714082
