time,100u,100v,10fg,10u,10v,2d,2t,asn,cbh,cp,crr,csf,csfr,es,hcc,i10fg,ilspf,istl1,istl2,istl3,istl4,lcc,lsf,lsp,lspf,lsrr,lssfr,mcc,mn2t,mntpr,msl,mx2t,mxtpr,ptype,rsn,sd,sf,skt,smlt,sp,tcc,tciw,tclw,tcrw,tcsw,tp,tsn,u10n,v10n,viiwd,viiwe,viiwn,vilwd,vilwe,vilwn
1979-12-31 18:00:00,,,4.979992759298291,,,,,,1239.1664555509326,1.1657491414504643e-05,6.538490660091829e-07,4.312321102830785e-06,2.3387218191778872e-07,2.3174174170432746e-07,,4.834517670806343,0.4393120940620377,,,,,,8.420910708297639e-05,8.433122606672479e-05,1527.8080621301774,1.73529436448093e-08,2.6005502106875357e-05,,266.0546487661508,2.420063202197735e-05,,266.6424094657221,3.553918127477522e-05,,,,8.852303733487101e-05,,0.0,,,,,,,9.60070353287917e-05,,,,,,,,,
1980-01-01 00:00:00,-0.6961790005836261,0.36072317947297405,,-0.48271198949870275,-0.4061445315208661,263.76688461755157,265.8634169539051,0.8221885889944945,,,,,,,0.030495637972679363,,,271.459228515625,271.4599609375,271.45947265625,271.4599609375,0.49999169344027367,,,,,,0.596797519634869,,,101537.41549556213,,,2.7337278106508878,117.54995330268815,0.02082005901449531,,263.84364977955113,,74083.49186390532,0.6875016315889781,0.05187255349688744,0.01782999659431051,0.0,0.05516648151465422,,260.3615567359699,-0.2558789394310946,-0.19229655611444507,-3.0504075153152177e-06,0.8951212540282675,0.2753757548975874,-2.376512281965883e-06,0.22738713464705196,0.06813438402036943
1980-01-01 18:00:00,,,6.771785820729634,,,,,,936.5053122384207,1.830682599332911e-05,3.1012160009181008e-06,6.43553818471333e-06,3.327654134592361e-06,4.3770242995615586e-07,,6.605145871991942,0.43399318717640534,,,,,,5.5354154674259165e-05,5.557343980969762e-05,1579.0314349112425,3.793382929009799e-08,1.2409493062623154e-05,,267.91549971541,1.7151302663532236e-05,,268.4091759856636,2.771611573428092e-05,,,,6.179180900020712e-05,,0.0,,,,,,,7.387700341862335e-05,,,,,,,,,
1980-01-02 00:00:00,-0.5916253885573889,1.1284612226768358,,-0.37075280296731983,0.18620870804645606,266.39084422094584,268.4365490794887,0.8359194390872526,,,,,,,0.0018973406955335268,,,271.459228515625,271.459716796875,271.460205078125,271.4599609375,0.46211703148113903,,,,,,0.26596311105073556,,,101641.78476331361,,,2.8816568047337277,114.15917806230352,0.024611631441398486,,263.9905170688968,,74108.55667529585,0.6111478195387936,0.020426725154500124,0.03949371879622781,0.00013409572592853794,0.013525550887429502,,262.0767008764504,-0.3092803503634662,0.025322259530513244,1.0022955425941253e-06,0.18445318346545542,0.13624504492921236,-6.747440717506123e-07,0.31104750322872365,0.087471459511414
1980-01-02 18:00:00,,,5.749850002266246,,,,,,804.2834919863527,5.272476101768087e-06,7.390843693321273e-07,2.493795294028062e-07,2.983759140827247e-07,2.1083956225616746e-07,,5.6185784255259135,0.27488889073479106,,,,,,1.4427542333772196e-05,1.4746484495478975e-05,1015.875,8.558041620007633e-08,4.240713969490232e-06,,263.38018211951623,4.9059538269889424e-06,,263.7429921528291,8.46573322482363e-06,,,,1.4676629791598348e-05,,0.0,,,,,,,2.0009900867586306e-05,,,,,,,,,
1980-01-03 00:00:00,-0.4223119013408232,0.3356349030895346,,-0.43120309163832804,-0.41638098948100616,260.915969216612,263.94635641786476,0.8318257278944614,,,,,,,0.019181155594142938,,,271.460205078125,271.460205078125,271.459716796875,271.4599609375,0.3377503056806573,,,,,,0.20293602576622596,,,102053.87684911242,,,2.828402366863905,118.5668957952917,0.0248438751203774,,257.88328633505915,,74234.61226423817,0.4548888390101272,0.01194765987911416,0.0288364064680746,0.00014039115792900854,0.009173737475152552,,256.00766397510057,-0.17620465882431122,-0.27245809904922397,-6.507220025778439e-07,0.11978185435442926,0.05257475336727042,-5.334800092648775e-07,0.08677961545054023,0.02812282749887049
1980-01-03 18:00:00,,,6.017948336855194,,,,,,612.6671542463631,5.461132297149071e-07,7.89566254849441e-09,0.0,0.0,7.985981292168462e-08,,5.957600407346466,0.13699268589358357,,,,,,3.2247567670585135e-06,3.889445546110707e-06,497.02403846153845,1.1582346357537445e-06,1.5007409118336333e-06,,261.6411863248024,1.1705126635421662e-06,,261.9388862022987,2.444010867169623e-06,,,,3.2247567670585135e-06,,0.0,,,,,,,4.415185405657841e-06,,,,,,,,,
1980-01-04 00:00:00,0.7466516269029245,0.16467605681109004,,0.025842847203361916,-0.4441352990957407,257.86825841418386,262.0040127906574,0.82736145215627,,,,,,,0.0028176166602140347,,,271.4599609375,271.46044921875,271.4599609375,271.4599609375,0.15006721090282915,,,,,,0.010159644854844675,,,102201.49371301776,,,1.816568047337278,129.0803249742858,0.024951163480973104,,254.7140571549094,,74368.64480861687,0.15477495362772745,0.0018025432112654285,0.00559034855408076,1.6901620040983844e-05,0.0009137836433726655,,253.8109757462902,0.1076110918846356,-0.25599200344649997,4.673168905624932e-08,0.01805294638075287,0.0038151879775607904,-1.2687958577012687e-07,0.002799274168423647,0.0052744456823121694
1980-01-04 18:00:00,,,5.29003762352396,,,,,,145.6649932861328,4.2040672527967823e-07,0.0,4.2005403507390673e-07,2.146133679080997e-07,7.340898764865285e-08,,5.171953252081335,0.1126476039547892,,,,,,3.3119924851423184e-06,3.297124388655262e-06,349.5255177514793,0.0,1.2478344803731117e-06,,260.97359615529075,1.4454897867857353e-06,,261.2478412876468,1.6253617917292216e-06,,,,3.7322779731637627e-06,,3.9056513855266854e-07,,,,,,,3.7455699852937778e-06,,,,,,,,,
1980-01-05 00:00:00,0.803297878017087,-0.32977973779983066,,0.04059930383806398,-0.5966988625611074,255.73337035771658,261.6691747360681,0.8181097532165121,,,,,,,0.0,,,271.4599609375,271.460693359375,271.46022634560893,271.4599609375,0.09313639804456361,,,,,,0.001821365582167044,,,102251.10909763313,,,1.242603550295858,132.6794374003213,0.024757816505855356,,253.84880011744752,,74472.79419378698,0.09368959686459874,0.0008475893347926394,0.0016406414776864136,0.0,0.0004218315937109953,,253.2588742047372,0.09460835767215525,-0.3123551656508587,-1.4774574599912137e-08,0.0029535607657651553,0.0019266169103890239,7.264905369987976e-08,0.0014401627318746239,0.001707162884389155
1980-01-05 18:00:00,,,5.009555229773889,,,,,,83.731573353643,1.3007214788854475e-06,4.232282469258506e-08,1.2442910459620006e-06,4.97645880343646e-07,5.3385224015267355e-08,,4.921962455884945,0.11434882350221894,,,,,,1.0531026451192664e-06,1.0609995992578699e-06,352.3224852071006,0.0,3.39033104170709e-07,,260.3756446612657,8.219500353350441e-07,,260.6542361107098,1.2334458221345259e-06,,,,2.297379914120104e-06,,3.6603870344232523e-07,,,,,,,2.3588912903204473e-06,,,,,,,,,
1980-01-06 00:00:00,0.7132197216417663,-0.34033669240375947,,0.08031272323879264,-0.5577769251264764,254.92166056435488,261.06722029285316,0.8096481226605071,,,,,,,0.0,,,271.459716796875,271.459716796875,271.460205078125,271.4599609375,0.09618463459804918,,,,,,0.008726357002935467,,,102212.38535502959,,,1.1242603550295858,133.63525517029169,0.024656911749811567,,253.44659423828125,,74367.31296227811,0.09762230145155325,0.0006462949267505894,0.0004960728820259049,0.0,0.0002983011437591011,,252.86108443581847,0.17273445806559726,-0.2804151681753305,-4.398728610283679e-08,0.001880647009789679,0.0009187163121050456,4.648542049383612e-08,-0.00015039788283539946,-0.00021146806563146015
1980-01-06 18:00:00,,,6.835292404219949,,,,,,474.9025609633502,0.0,0.0,0.0,0.0,-2.4438849694237453e-07,,6.617856273989705,0.06297175841924002,,,,,,8.124360103799394e-09,7.241005463713019e-07,170.06878698224853,2.9484625663277665e-07,2.1718733478337526e-09,,260.6084982967941,4.573055603624096e-08,,260.9056359466011,6.430093529661732e-07,,,,8.124360103799394e-09,,5.209843969777138e-09,,,,,,,7.241005463713019e-07,,,,,,,,,
1980-01-07 00:00:00,0.510060648946367,-0.8774195394572422,,-0.00884942049105492,-0.561417602223052,254.25620680588943,260.77353934564536,0.813658836677935,,,,,,,0.0003446573336448895,,,271.46044921875,271.4599609375,271.459716796875,271.4599609375,0.054734450120192304,,,,,,0.00011193399598612588,,,102390.00110946746,,,0.40828402366863903,127.62873704898992,0.024564725142964244,,252.6706776816464,,74542.19979659763,0.05479738133898854,3.5390919129524005e-06,0.002357200757991633,1.8785602947663978e-06,0.0,,252.23229781833626,0.0462837444960013,-0.23386175956951796,6.10939531127947e-08,0.00027533782259960655,-1.408520964740296e-05,-9.455713966982605e-08,0.0002655358929958569,-0.0005023183422328452
1980-01-07 18:00:00,,,5.640040081633619,,,,,,983.9419606526693,0.0,0.0,0.0,0.0,-8.435616098873361e-08,,5.602518606468065,0.007544974603596524,,,,,,5.105655700982322e-09,1.1094793478941776e-07,30.54049556213018,2.822641024266827e-08,1.691961516323086e-09,,263.4423091369268,2.3786612295892817e-08,,263.6775580411832,4.2561510544733185e-08,,,,5.105655700982322e-09,,0.0,,,,,,,1.1094793478941776e-07,,,,,,,,,
1980-01-08 00:00:00,0.6101600771119609,-0.4715000525028748,,-0.01848633895964312,-0.5600398927045291,257.08038194645087,262.92243036574865,0.8091098214747637,,,,,,,0.00019135983032587717,,,271.459716796875,271.46044921875,271.460205078125,271.4599609375,0.04653515336076183,,,,,,0.02139684011244915,,,102170.69896449705,,,0.09467455621301775,129.04634753345738,0.024457077567393962,,255.59704544699403,,74612.42016457101,0.05263632147975222,8.631211060744066e-05,0.011804298536311946,2.3113905325443786e-05,1.3404035356623181e-05,,254.46304881078956,-0.007813558423307521,-0.22722220456106423,-5.396034756431511e-09,0.0007144501783227901,0.0003196111268545749,1.0531511120381076e-07,0.032224486389103725,-0.009886643237616184
1980-01-08 18:00:00,,,5.827570570996527,,,,,,2954.337496914706,3.0754585943278475e-07,0.0,0.0,0.0,1.9337169938140751e-07,,5.774829486418053,0.03136656270224667,,,,,,7.742707281423038e-07,7.777755870621585e-07,124.65698964497041,0.0,2.2133652495561972e-07,,264.64281188242535,9.472005223557794e-08,,264.94631759372686,3.856460745694369e-07,,,,7.742707281423038e-07,,0.0,,,,,,,1.0881429681411157e-06,,,,,,,,,
