time,100u,100v,10fg,10u,10v,2d,2t,asn,cbh,cp,crr,csf,csfr,es,hcc,i10fg,ilspf,istl1,istl2,istl3,istl4,lcc,lsf,lsp,lspf,lsrr,lssfr,mcc,mn2t,mntpr,msl,mx2t,mxtpr,ptype,rsn,sd,sf,skt,smlt,sp,tcc,tciw,tclw,tcrw,tcsw,tp,tsn,u10n,v10n,viiwd,viiwe,viiwn,vilwd,vilwe,vilwn
1940-01-01 00:00:00,-0.12396352530936518,0.5856714305087659,,-0.1862795790271646,-0.2439674061430982,255.45085243360532,264.08364633413464,0.7677933108171767,,,,,,,6.941295939789722e-05,,,271.4598388671875,271.460205078125,271.4599151611328,271.4599609375,0.01536961843276165,,,,,,0.01726744160849667,,,102209.12906804733,,,,120.70275933079466,0.005713039248652712,,258.9246557111571,,71414.80568139793,0.02378339598164756,0.0004498605897440713,0.005422479302220091,2.543293160094312e-06,0.00016387327182927782,,259.54046107184956,-0.10194138838694645,-0.13539030989246256,6.294693555352251e-09,0.008007026973821791,-0.0005329913906091769,2.9280525365274002e-08,0.024009661696652865,-0.005586902396037028
1940-01-01 18:00:00,,,5.796009099342414,,,,,,255.50503657414362,2.3136477498613165e-07,3.1318890272512945e-07,0.0,0.0,1.1087177568672481e-07,,5.661453948218441,0.17672585030279217,,,,,,7.077610704320422e-06,7.094694136162481e-06,616.3690828402367,1.1286086584689349e-08,1.466045012840858e-06,,263.7516048815123,1.5454443954151762e-06,,264.16401112573385,2.1824690364521637e-06,,,,7.077610704320422e-06,,0.0,,,,,,,7.3204379109941294e-06,,,,,,,,,
1940-01-02 00:00:00,0.12936641196527424,0.6068895385110167,,-0.1773032182772484,-0.186087563193056,257.85141171788325,263.7089377860346,0.7697025555125355,,,,,,,0.0,,,271.460205078125,271.4598846435547,271.46006774902344,271.4599609375,0.14596774310049926,,,,,,0.007874663764908469,,,102272.19914940829,,,2.2958579881656807,117.34211306600176,0.005899845143041667,,259.3394553280441,,71341.08743990384,0.14631219446306398,0.002189895810460198,0.002840786995972402,0.0,0.0011014317619730029,,256.02327398717756,-0.08316003500357182,-0.15955478058764216,2.3519425355338838e-08,0.0068134273857549214,0.006454873839723905,8.555565534136121e-08,0.002849490526435379,0.002656933713770477
1940-01-02 18:00:00,,,4.50006468620526,,,,,,456.0087050346479,1.0439630090837648e-07,0.0,0.0,0.0,9.729030538987254e-08,,4.266369289195044,0.1902288854474852,,,,,,6.536275324736827e-06,6.683082622889231e-06,655.3716715976332,5.643043292344674e-08,2.7128269333811202e-06,,262.9417423948028,2.7091016430826583e-06,,263.40670956944575,2.986183885991926e-06,,,,6.536275324736827e-06,,0.0,,,,,,,6.79030044544378e-06,,,,,,,,,
1940-01-03 00:00:00,0.32733681357118505,-0.4240088886057837,,-0.034165980547842895,-0.5274596919674845,257.3134804449138,262.86413014428854,0.7683918345609361,,,,,,,0.0,,,271.4606628417969,271.45965576171875,271.45985412597656,271.4599609375,0.1561507727267474,,,,,,0.023678615953795303,,,102346.67104289941,,,2.5680473372781063,116.26191937147513,0.005965295054856137,,258.8148178913184,,71376.19866401626,0.1639275184044471,0.0019111238287750785,0.007862948807033561,8.118487674103686e-06,0.0012170633620764376,,254.06659233499562,-0.022472136472103863,-0.2526767550135505,2.717733232148774e-08,0.006403994177517718,0.0036571434969027367,7.176715059181091e-08,0.011373242330268995,0.006733141288425795
1940-01-03 18:00:00,,,5.013546125423273,,,,,,462.42468915666853,0.0,0.0,0.0,0.0,-2.8791615456003784e-08,,4.947701911249104,0.0011835041836168638,,,,,,0.0,2.2572345381393237e-08,5.945636094674557,3.0602074983204612e-09,0.0,,262.7856124787641,4.9081285203085145e-09,,263.1836195725661,8.06761624500949e-09,,,,0.0,,0.0,,,,,,,2.2572345381393237e-08,,,,,,,,,
1940-01-04 00:00:00,-0.2689828929111097,-1.0567158975544766,,-0.23230247384697728,-0.757198153162849,251.77693383933524,262.72275782477925,0.7677050536200845,,,,,,,0.0031505900727221248,,,271.46022033691406,271.4597473144531,271.4601135253906,271.4599609375,0.002788069685535318,,,,,,0.002228686090051775,,,102311.39053254438,,,0.05325443786982249,117.61934124647513,0.006005284833837543,,257.15739675668567,,71408.8342039571,0.0066916787412745005,0.00036342186335275864,0.0010139166250736757,4.4766306524446025e-07,0.00016468728082419853,,258.4666116026026,-0.1201557957914454,-0.3334524673823069,-4.392891699315969e-08,0.004195692961999028,-0.0035484151021968682,6.866129782814522e-08,0.0010428297920317868,-0.0009949225601712628
1940-01-04 18:00:00,,,4.128065944423337,,,,,,4163.683040364584,0.0,0.0,0.0,0.0,-2.7812697785870675e-08,,4.082793946802264,0.0047353936370307876,,,,,,2.1424724516519427e-08,2.2467812688569345e-08,20.567862426035504,0.0,1.721280611797991e-09,,264.15961921285594,1.7506212337747128e-09,,264.41944036540195,2.0909552275032335e-09,,,,2.1424724516519427e-08,,0.0,,,,,,,2.461426323775709e-08,,,,,,,,,
1940-01-05 00:00:00,0.019845465936604335,-0.010229065573427098,,-0.15009330997805623,-0.3770813180144722,252.1700291379669,264.13758019441684,0.7669715482807724,,,,,,,0.1366885935766457,,,271.45965576171875,271.4602813720703,271.4597473144531,271.4599609375,0.01988518167529586,,,,,,0.18135124973996858,,,102055.65523298817,,,0.591715976331361,119.13151071762897,0.005938538168309003,,258.7898145145213,,71376.55586630917,0.3269954597213741,0.001599526020761365,0.002825381487784301,1.1699615850956482e-05,0.00043846093691312347,,259.67501785910343,-0.07939144351778651,-0.21587717180421367,-2.4073625144620353e-10,0.02473436790691019,0.0032365245623348733,5.3242573269350815e-09,0.00884756853682755,-0.0006903462861416608
1940-01-05 18:00:00,,,5.169894284045203,,,,,,3544.071533203125,1.8120974787240902e-07,7.256876522972739e-08,0.0,0.0,7.336415063618054e-08,,5.1197239375678745,0.02956751535630085,,,,,,5.807719309125426e-07,5.920869491156742e-07,131.61612426035504,2.145718648125963e-09,8.561692514715815e-08,,265.39777261406715,1.0172357044276401e-07,,265.74993616589427,3.1184978210009063e-07,,,,5.804853701203533e-07,,0.0,,,,,,,7.71549778312621e-07,,,,,,,,,
