time,100u,100v,10fg,10u,10v,2d,2t,asn,cbh,cp,crr,csf,csfr,es,hcc,i10fg,ilspf,istl1,istl2,istl3,istl4,lcc,lsf,lsp,lspf,lsrr,lssfr,mcc,mn2t,mntpr,msl,mx2t,mxtpr,ptype,rsn,sd,sf,skt,smlt,sp,tcc,tciw,tclw,tcrw,tcsw,tp,tsn,u10n,v10n,viiwd,viiwe,viiwn,vilwd,vilwe,vilwn
1949-12-31 18:00:00,,,5.374816200436925,,,,,,496.3609148869749,0.0,0.0,0.0,0.0,1.6801529923025464e-07,,5.313492774963379,0.11139466776650332,,,,,,9.785224435597482e-07,2.990052456686483e-06,366.41346153846155,4.480047338813014e-07,2.410341351783487e-07,,264.29409167047083,5.567352667715422e-07,,264.51850674420416,1.374588033856725e-06,,,,9.785224435597482e-07,,0.0,,,,,,,2.990052456686483e-06,,,,,,,,,
1950-01-01 00:00:00,-0.7473870452339128,-0.1307324516702686,,-0.5518483269144092,-0.5649391716048562,259.60572210007166,264.43432039339865,0.7536814138734129,,,,,,,0.0,,,271.45947265625,271.459228515625,271.459716796875,271.4599609375,0.1272643501236594,,,,,,0.047887497399685654,,,101170.98187869822,,,1.5798816568047338,131.92486084706684,0.03062595823812767,,257.93896475346133,,73865.34363443048,0.13786108253975593,0.0009450700861462475,0.025587318916997965,0.000593422432622966,0.0010601190420297475,,256.7698776877138,-0.31112941764515534,-0.2696282539141954,-4.137965177871926e-08,0.00601215475409694,0.00035256506687790685,6.390149813949974e-07,0.1260820035960459,-0.0386517650982332
1950-01-01 18:00:00,,,7.019047071242474,,,,,,1513.0921774086046,8.908161044826168e-06,3.817630380656592e-08,6.049695099599263e-06,1.1746237087531909e-07,2.102487960036821e-07,,6.779963927861502,0.2525446062257304,,,,,,3.396741737275434e-05,3.401079826806424e-05,900.3542899408284,7.053804115430843e-09,8.79814374376331e-06,,265.7522034052561,9.092287375376774e-06,,266.16653180545603,1.1857312459212084e-05,,,,4.0016407091942056e-05,,0.0,,,,,,,4.2911200128363435e-05,,,,,,,,,
1950-01-02 00:00:00,-0.8006941609128693,0.9216712127775836,,-0.6094124415922447,-0.10767288320868679,260.8206416925735,265.81689407980656,0.7538333877303897,,,,,,,0.013891276523206361,,,271.4599609375,271.4599609375,271.459716796875,271.4599609375,0.2620708759014423,,,,,,0.18199085483889607,,,101292.01830621302,,,2.7041420118343193,132.191988250913,0.030933026907712043,,260.6231098062188,,73892.34885817308,0.35608444023414476,0.014012854366949705,0.013701038247734837,4.7067918721035387e-05,0.0132199349488027,,258.36857875846545,-0.30564442470934267,-0.0986737979234323,-2.501789375742864e-07,0.1640392921826411,0.08748526390663972,-1.0787524192004339e-06,0.10701937041212337,0.017457499747445596
1950-01-02 18:00:00,,,5.5454039827606385,,,,,,604.2504490443638,1.9739156371236024e-09,0.0,0.0,0.0,1.6555517290537773e-07,,5.432388965900127,0.1330409303924741,,,,,,8.436151333814543e-06,8.420655007898454e-06,476.5525147928994,8.882609603805303e-09,1.5374758010785256e-06,,263.8708647778754,1.5657626577382962e-06,,264.36926865436624,1.938793168970819e-06,,,,8.436151333814543e-06,,0.0,,,,,,,8.424622772713384e-06,,,,,,,,,
1950-01-03 00:00:00,-0.0871912205713035,0.25761681618775134,,-0.23935404896030765,-0.3869101225271733,259.52910744932274,263.84413950542023,0.7563832578574412,,,,,,,0.0,,,271.45947265625,271.4599609375,271.459716796875,271.4599609375,0.1343009993874815,,,,,,0.026253649468958026,,,101510.94304733728,,,2.562130177514793,131.29264930860532,0.03127481669363891,,258.8009598410341,,74026.13154123521,0.1414686575443787,0.002064055945040912,0.007882360875959227,3.4659086952548053e-06,0.0024210800080609746,,257.64062193018447,-0.1268681481745116,-0.2124487803532527,6.307973792485772e-08,0.008981907846920672,0.005057024929297747,-1.1974152154495842e-07,0.03534893471108386,0.001915575484552327
1950-01-03 18:00:00,,,5.00706538928331,,,,,,434.49958300981365,6.0945418635769e-07,2.821521646172337e-08,0.0,0.0,1.1514902535754328e-07,,4.921164862502962,0.1149167393791605,,,,,,1.2009211722210315e-06,1.4144199839710484e-06,394.92492603550295,5.137687135686183e-09,2.9797707105705724e-07,,262.94415183885565,2.965422005519359e-07,,263.3610512998682,1.2737186350060638e-06,,,,1.2009211722210315e-06,,0.0,,,,,,,2.0238686595442734e-06,,,,,,,,,
1950-01-04 00:00:00,-0.15503012640236397,-0.09831727609126525,,-0.2234239126803607,-0.573651849870851,256.78570475380803,262.9637338311009,0.7535072018408916,,,,,,,0.004965042926856047,,,271.459716796875,271.4599609375,271.4599609375,271.4599609375,0.13281547952685835,,,,,,0.015805171086237982,,,101904.27292899408,,,1.2781065088757397,131.6230048004692,0.031268216978163406,,256.94868794277573,,74321.01151072486,0.13959281966531065,0.0008225638485519139,0.015741788423978366,0.0003381424401638776,0.0004644351598073745,,256.3060663889146,-0.11084443683454977,-0.2509543923936652,8.150233277225607e-08,0.0019028623988431707,0.0010349169778554926,4.152912104408637e-08,0.018183203358974682,0.004816366017922847
1950-01-04 18:00:00,,,4.614948803151147,,,,,,482.32252502441406,6.325939703269823e-07,4.1335016577201483e-07,4.45378845083643e-07,2.3912395951310556e-07,7.49488590480126e-08,,4.499011496820393,0.14837339502819896,,,,,,7.747788224699934e-06,7.734892989051413e-06,460.85207100591714,0.0,2.758478271890674e-06,,263.37694111660386,2.9608342774520965e-06,,263.7579834164952,3.236505759538278e-06,,,,8.192310142799242e-06,,0.0,,,,,,,8.366693406415409e-06,,,,,,,,,
1950-01-05 00:00:00,-0.435364040397328,0.10579285819149582,,-0.4061004311375364,-0.6064582237830529,256.4720589902979,263.3853805812858,0.7509280601902121,,,,,,,0.0,,,271.45947265625,271.460205078125,271.46031963410815,271.4599609375,0.14956601836977626,,,,,,0.01759446725337463,,,102194.03735207101,,,1.485207100591716,131.9763355142266,0.03125329924052989,,257.13274153308754,,74568.93045025888,0.15177565354567307,0.0018366638725325905,0.008401464428422014,2.2822671388027936e-05,0.0010676807200414894,,256.5910731208395,-0.15949164339776575,-0.24895173029081355,2.8646182409727385e-08,0.0054436181423932134,0.006690166391120237,2.221480148762448e-07,0.005565215144637068,0.0032367272489875025
1950-01-05 18:00:00,,,5.140776160200672,,,,,,395.7997719093605,1.6031863950413359e-06,5.487914709649847e-07,3.470471624791975e-07,7.018535094853689e-08,1.7175497461355584e-07,,5.076587078839364,0.1834961479232156,,,,,,5.386450146076947e-06,5.391211463854863e-06,563.6013313609468,1.539658071726737e-07,2.096401604674977e-06,,263.0588896260459,1.928190419659812e-06,,263.3883700399004,3.2031214272482156e-06,,,,5.733420157573632e-06,,0.0,,,,,,,7.001804353217402e-06,,,,,,,,,
1950-01-06 00:00:00,-0.4939197675716242,-0.055086339013816335,,-0.3957407516840647,-0.6286885696049977,257.7466219388522,263.0647613705968,0.7505227542487827,,,,,,,0.0,,,271.459716796875,271.459716796875,271.4599609375,271.4599609375,0.17414837899292715,,,,,,0.023299719454974114,,,102353.56730769231,,,2.094674556213018,131.99883690106094,0.03122295395157041,,257.02472673224275,,74589.49297337278,0.18096228605191383,0.0015302071204552283,0.01558576956303162,9.823215783700435e-06,0.0005887782079933663,,256.448959621452,-0.1442768605503105,-0.3078835109281822,4.9466846377131414e-08,0.0013102920913308329,0.005470952811270688,2.162312352051683e-07,-0.022545515432865662,0.019923870380108174
1950-01-06 18:00:00,,,4.910290074771678,,,,,,694.6519579206195,0.0,0.0,0.0,0.0,2.01151707099022e-07,,4.78906433398907,0.19477979671320267,,,,,,8.9152148489416e-06,8.92284177464141e-06,753.375,0.0,1.7597698248349702e-06,,262.3316125813321,1.8147564322285398e-06,,262.69722842605864,2.150363206158023e-06,,,,8.9152148489416e-06,,0.0,,,,,,,8.917419162727673e-06,,,,,,,,,
