time,100u,100v,10fg,10u,10v,2d,2t,asn,cbh,cp,crr,csf,csfr,es,hcc,i10fg,ilspf,istl1,istl2,istl3,istl4,lcc,lsf,lsp,lspf,lsrr,lssfr,mcc,mn2t,mntpr,msl,mx2t,mxtpr,ptype,rsn,sd,sf,skt,smlt,sp,tcc,tciw,tclw,tcrw,tcsw,tp,tsn,u10n,v10n,viiwd,viiwe,viiwn,vilwd,vilwe,vilwn
1954-12-31 18:00:00,,,6.905555426016361,,,,,,533.2515189430931,4.73200040456106e-07,0.0,4.69717224674112e-07,4.4275571167821714e-07,1.7895628908268844e-07,,6.697951091111764,0.13843558949126294,,,,,,8.073343327764929e-06,8.068890613917064e-06,565.9667159763313,0.0,2.0044486550889777e-06,,263.1382046310154,1.8743941417107214e-06,,263.50245829023555,2.3320758131128798e-06,,,,8.543126681852623e-06,,0.0,,,,,,,8.544890132881481e-06,,,,,,,,,
1955-01-01 00:00:00,0.7785615864590075,1.2577705214009482,,0.32784537027573446,0.1620301241000023,255.9128358378213,263.99401060928255,0.7648532595154802,,,,,,,0.0,,,271.46034240722656,271.4595642089844,271.46006774902344,271.4599609375,0.15040777985160872,,,,,,0.01046950436202732,,,102184.11187130178,,,2.224852071005917,127.19019692325028,0.10888308604088055,,258.1524076743944,,73762.35299556213,0.15552191198224852,0.0016825862184784116,0.009978435448640903,0.0,0.001483702800683016,,254.65374295387042,0.12562255146940784,0.0360213567519329,6.339255566763852e-08,0.003935006948617788,0.009250776302179641,1.2443581655946665e-07,0.02294745214955782,0.02167373820698473
1955-01-01 18:00:00,,,6.059354048508864,,,,,,1434.479254181852,5.884174555099222e-08,0.0,5.950269526278479e-08,2.873419458873173e-07,1.809928808116105e-07,,5.805379421753291,0.1419018626918454,,,,,,4.718532047328159e-06,4.714387937410343e-06,628.9522928994082,0.0,8.869772920241722e-07,,264.34972945896124,7.984382734143522e-07,,264.68729369033724,9.713253590482228e-07,,,,4.7787208352568585e-06,,0.0,,,,,,,4.775987486162129e-06,,,,,,,,,
1955-01-02 00:00:00,0.2538899246757553,0.7196676434849846,,0.15222922443638187,-0.18606023393439117,258.89220153086285,266.598952163606,0.7605786235374812,,,,,,,0.06836127106254623,,,271.46002197265625,271.4606170654297,271.4599304199219,271.4599609375,0.16552923981254622,,,,,,0.14410797660872782,,,102208.79040310651,,,2.3431952662721893,129.86593194543963,0.10897312079660991,,259.7334908028326,,73962.62014607988,0.32024731156388686,0.0027328920082227716,0.00676871756830159,0.0,0.0019201047321748452,,256.6143295920107,0.06542515014050275,-0.06335070570545083,-3.570044934494729e-07,0.03217180239333917,0.012083143877559864,-2.157245013523935e-08,0.017024036932229644,0.015741908999942465
1955-01-02 18:00:00,,,6.146051327857745,,,,,,192.9636693076482,1.1756500923598306e-07,0.0,1.1375154638607826e-07,0.0,2.415196650904821e-07,,6.059178256424221,0.19016478047568416,,,,,,1.3228836496906167e-05,1.32206805358977e-05,814.7015532544378,0.0,2.5460265091890414e-06,,264.45179378351514,2.417492972323175e-06,,264.75808201174766,2.8275724875151054e-06,,,,1.334227048433744e-05,,0.0,,,,,,,1.3353137751302775e-05,,,,,,,,,
1955-01-03 00:00:00,0.7134609448133841,0.7276129299366968,,0.34016657157762514,-0.033260593752889235,261.1343154455783,266.3588830169136,0.757395018487287,,,,,,,0.0,,,271.4593963623047,271.4592742919922,271.45994567871094,271.4599609375,0.20010321803346892,,,,,,0.01277413452870747,,,102232.89876109468,,,2.195266272189349,132.08858819543963,0.10920572280883789,,260.2385108541455,,73946.11688701923,0.20091066981208394,0.0022602363450992743,0.0035071683353220923,0.0,0.0023740791004790355,,257.15854152702013,0.11094430388783562,-0.04692595103788658,4.5607639710865255e-08,0.006169742366527042,0.005949308166398182,1.0499577093097937e-07,0.010455994916385448,0.007663491122788314
1955-01-03 18:00:00,,,7.945909415476421,,,,,,178.17739305998148,1.7980863092213692e-07,0.0,1.8085912421081193e-07,8.79371053292609e-11,3.435732482420565e-07,,7.7347917726054,0.19633366511418268,,,,,,1.4378672697134977e-05,1.4420510572794627e-05,841.5465976331361,8.288736471674852e-09,1.944744816193214e-06,,265.08804808848004,1.9947772283525863e-06,,265.4333244188297,2.319615929437107e-06,,,,1.4559911376625828e-05,,0.0,,,,,,,1.4603182056246425e-05,,,,,,,,,
1955-01-04 00:00:00,0.48295356253900473,1.2282537539329754,,0.24578876608222194,0.10233282619679468,259.29567858453333,266.0639799219617,0.7547212137273077,,,,,,,0.0,,,271.46006774902344,271.46022033691406,271.4601287841797,271.4599609375,0.21521501710428995,,,,,,0.018411715355145155,,,102024.82969674557,,,2.526627218934911,132.05072761851656,0.10945961320188624,,260.92969950839614,,73821.31887943787,0.22046115130362426,0.0028173965815256334,0.008826035719651442,0.0,0.0035996860301000834,,257.54351824698364,0.0982245520727169,0.06308266679210776,6.055763377408502e-08,0.012088312890663738,0.010192034898336822,2.975430644906716e-07,0.03469859316983651,0.021440593140012412
1955-01-04 18:00:00,,,5.47081194544685,,,,,,736.7224653594348,1.957473695035693e-08,0.0,1.9604012992828204e-08,0.0,1.9761890509805075e-07,,5.357886765835553,0.15460782925758135,,,,,,1.0634976378559361e-05,1.1614485252538376e-05,612.3317307692307,1.3964465604378626e-07,1.2166682388302843e-06,,265.6031941972541,1.4340797075505792e-06,,265.90964792466025,1.8612674531146619e-06,,,,1.065455068497968e-05,,0.0,,,,,,,1.1634103645234418e-05,,,,,,,,,
1955-01-05 00:00:00,-0.20543792544031989,0.44487628146741515,,-0.13615169750868217,-0.27518512793546596,261.6896690052642,267.67946611212557,0.7517849901724144,,,,,,,0.0,,,271.45977783203125,271.4597930908203,271.45989990234375,271.4599609375,0.16740227874214128,,,,,,0.022033239962786614,,,101954.16715976331,,,2.603550295857988,133.33179270727393,0.1097087253480268,,261.57573171762317,,73856.13094027367,0.1730948905267659,0.001881923901258841,0.015885731172279493,2.9509942207110704e-05,0.002422270690195659,,258.00731157833303,-0.0607502622717231,-0.11639996816420696,1.0596635481774495e-07,0.005708592868676635,0.0038324153965570516,4.3240933224060104e-07,0.08911856713418204,0.006431160285275363
